dataset,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,min,max,mean,median,std,auroc,f1,nll,time
Earthquakes,0.74820144,0.81294964,0.78417266,0.81294964,0.79136691,0.79136691,0.79856115,0.81294964,0.76258993,0.81294964,0.79136691,0.79136691,0.78417266,0.78417266,0.80575540,0.81294964,0.77697842,0.78417266,0.81294964,0.80575540,0.75539568,0.78417266,0.77697842,0.77697842,0.81294964,0.79856115,0.79136691,0.79856115,0.81294964,0.81294964,0.74820144,0.81294964,0.79328537,0.79136691,0.01781050,0.67742525,0.15530549,0.53820819,43.58379383
ECG200,0.91000000,0.92000000,0.91000000,0.89000000,0.94000000,0.89000000,0.91000000,0.91000000,0.90000000,0.90000000,0.90000000,0.91000000,0.87000000,0.91000000,0.88000000,0.93000000,0.91000000,0.89000000,0.94000000,0.92000000,0.87000000,0.95000000,0.86000000,0.90000000,0.89000000,0.90000000,0.94000000,0.91000000,0.86000000,0.93000000,0.86000000,0.95000000,0.90500000,0.91000000,0.02291288,0.96081165,0.92812927,0.43763163,4.55685120
ECG5000,0.95044444,0.95111111,0.94711111,0.94600000,0.94955556,0.95177778,0.94844444,0.94822222,0.94977778,0.94822222,0.94644444,0.95088889,0.94644444,0.95044444,0.95111111,0.95044444,0.94311111,0.95244444,0.94777778,0.94577778,0.94822222,0.94933333,0.94600000,0.94666667,0.94644444,0.94844444,0.95311111,0.94933333,0.94888889,0.95088889,0.94311111,0.95311111,0.94876296,0.94866667,0.00226455,0.92282106,0.58823413,0.55954180,37.11454885
ECGFiveDays,1.00000000,1.00000000,0.99419280,0.99651568,1.00000000,0.98954704,0.99883856,0.99186992,0.97793264,0.99070848,1.00000000,0.99535424,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99883856,1.00000000,0.99767712,0.99651568,0.99883856,1.00000000,1.00000000,1.00000000,0.99767712,0.99883856,1.00000000,0.99419280,0.98954704,0.97793264,1.00000000,0.99690283,0.99883856,0.00482926,0.99999047,0.99693027,0.37244476,5.01918079
ElectricDevices,0.78212943,0.91440799,0.91596421,0.91726106,0.91635326,0.91427830,0.92270782,0.91739074,0.91090650,0.91557515,0.91933601,0.91388925,0.90999870,0.91790948,0.91544547,0.91557515,0.91570484,0.91596421,0.91570484,0.91557515,0.92141097,0.91531578,0.91842822,0.91700169,0.91427830,0.91233303,0.91453767,0.91803916,0.91777980,0.91803916,0.78212943,0.92270782,0.91164138,0.91570484,0.02418983,0.98768114,0.88863063,0.87623765,227.24884662
EOGHorizontalSignal,0.57458564,0.88674033,0.87569061,0.86187845,0.85359116,0.87292818,0.85359116,0.86740331,0.88397790,0.87569061,0.89226519,0.87845304,0.85911602,0.89226519,0.85911602,0.85911602,0.89226519,0.88674033,0.86740331,0.88121547,0.86740331,0.86187845,0.87569061,0.85911602,0.86187845,0.88121547,0.88121547,0.87016575,0.87016575,0.83977901,0.57458564,0.89226519,0.86141805,0.87016575,0.05477274,0.98189789,0.85895979,1.53782689,174.53459142
EOGVerticalSignal,0.51104972,0.81767956,0.78729282,0.81767956,0.83149171,0.81215470,0.81767956,0.78453039,0.80386740,0.81767956,0.79281768,0.83701657,0.82320442,0.79558011,0.82044199,0.79558011,0.82044199,0.80110497,0.81491713,0.80110497,0.78729282,0.83701657,0.83149171,0.80939227,0.80939227,0.81767956,0.80939227,0.81215470,0.80939227,0.84806630,0.51104972,0.84806630,0.80248619,0.81215470,0.05621960,0.96550353,0.79609297,1.62106731,177.93660740
EthanolLevel,0.64400000,0.69200000,0.72800000,0.71600000,0.73600000,0.73400000,0.71600000,0.72000000,0.72400000,0.72800000,0.72800000,0.73000000,0.72200000,0.71200000,0.74600000,0.71200000,0.74800000,0.74000000,0.72400000,0.71400000,0.72400000,0.74400000,0.73200000,0.73600000,0.72000000,0.71600000,0.71600000,0.71800000,0.73400000,0.72600000,0.64400000,0.74800000,0.72266667,0.72400000,0.01865714,0.89469372,0.71540194,0.93305135,53.80954783
FaceAll,0.87455621,0.98402367,0.99289941,0.99112426,0.98994083,0.98816568,0.98639053,0.99112426,0.98224852,0.98875740,0.99230769,0.99053254,0.98994083,0.98875740,0.98816568,0.99230769,0.98639053,0.99349112,0.98757396,0.98994083,0.98875740,0.98757396,0.98757396,0.98698225,0.98757396,0.99053254,0.98934911,0.99230769,0.99053254,0.99408284,0.87455621,0.99408284,0.98546351,0.98905325,0.02076279,0.99968899,0.98411620,1.26599504,41.00080226
FaceFour,0.94318182,0.98863636,0.97727273,0.97727273,1.00000000,0.98863636,0.96590909,1.00000000,0.89772727,1.00000000,1.00000000,0.95454545,0.95454545,0.93181818,1.00000000,0.93181818,1.00000000,0.88636364,1.00000000,1.00000000,1.00000000,0.93181818,1.00000000,1.00000000,1.00000000,0.97727273,0.93181818,0.97727273,0.96590909,0.89772727,0.88636364,1.00000000,0.96931818,0.97727273,0.03473508,0.99601179,0.97101480,0.62383592,3.77990648
