dataset,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,min,max,mean,median,std,auroc,f1,nll,time
EOGHorizontalSignal,0.62154696,0.88674033,0.87845304,0.86464088,0.86464088,0.87292818,0.86464088,0.87016575,0.88397790,0.87292818,0.89226519,0.87845304,0.85911602,0.87845304,0.86187845,0.85082873,0.88121547,0.88674033,0.88121547,0.87569061,0.87569061,0.88121547,0.88121547,0.87569061,0.86740331,0.89502762,0.89226519,0.88674033,0.86187845,0.83425414,0.62154696,0.89502762,0.86593002,0.87569061,0.04715448,0.98296862,0.86323159,1.51894543,35.72857083
EOGVerticalSignal,0.51657459,0.82872928,0.81215470,0.81491713,0.82044199,0.81215470,0.81491713,0.79005525,0.81767956,0.81767956,0.80662983,0.85082873,0.82596685,0.79281768,0.81215470,0.79281768,0.82596685,0.80110497,0.79834254,0.80662983,0.78453039,0.83149171,0.82596685,0.81491713,0.79558011,0.82872928,0.80662983,0.83425414,0.80386740,0.83701657,0.51657459,0.85082873,0.80405157,0.81353591,0.05549638,0.96649075,0.79816086,1.60496357,41.08030873
Earthquakes,0.76258993,0.78417266,0.79136691,0.80575540,0.79136691,0.79136691,0.79856115,0.79856115,0.79136691,0.79136691,0.78417266,0.79136691,0.78417266,0.77697842,0.79136691,0.80575540,0.76978417,0.78417266,0.78417266,0.78417266,0.79856115,0.79136691,0.77697842,0.79856115,0.79856115,0.77697842,0.79136691,0.77697842,0.80575540,0.76978417,0.76258993,0.80575540,0.78824940,0.79136691,0.01078070,0.69242954,0.14521483,0.53609750,13.59827342
ElectricDevices,0.77045779,0.91311114,0.91687200,0.91920633,0.91272209,0.91285177,0.91998444,0.91661263,0.91064713,0.91777980,0.91933601,0.91557515,0.91298146,0.91635326,0.91401893,0.91505641,0.91479704,0.91570484,0.91414862,0.91713137,0.92387498,0.91726106,0.91726106,0.91765011,0.91220335,0.91414862,0.91220335,0.92102192,0.91687200,0.91842822,0.77045779,0.92387498,0.91120910,0.91602905,0.02629684,0.98778184,0.88825902,0.87596362,108.65559352
EthanolLevel,0.64400000,0.69400000,0.73200000,0.71400000,0.73400000,0.74200000,0.71400000,0.72200000,0.72400000,0.73400000,0.73000000,0.71800000,0.73200000,0.70600000,0.75200000,0.72200000,0.74800000,0.73600000,0.73800000,0.72200000,0.72000000,0.74200000,0.72600000,0.74600000,0.71800000,0.72200000,0.73000000,0.71600000,0.73000000,0.73000000,0.64400000,0.75200000,0.72460000,0.72800000,0.01939863,0.89425371,0.71746441,0.93428499,15.93916509
FaceAll,0.88343195,0.98520710,0.99230769,0.99171598,0.99053254,0.98698225,0.98639053,0.99112426,0.98284024,0.98816568,0.99112426,0.98934911,0.98875740,0.98934911,0.98875740,0.99171598,0.98579882,0.99289941,0.98816568,0.99053254,0.98875740,0.98698225,0.98698225,0.98816568,0.98816568,0.99112426,0.98639053,0.99112426,0.99053254,0.99230769,0.88343195,0.99289941,0.98552268,0.98875740,0.01910533,0.99973350,0.98370208,1.26194427,18.08033637
FaceFour,0.95454545,0.97727273,0.96590909,0.98863636,1.00000000,0.97727273,0.96590909,1.00000000,0.89772727,1.00000000,1.00000000,0.95454545,0.95454545,0.94318182,1.00000000,0.93181818,1.00000000,0.88636364,1.00000000,1.00000000,1.00000000,0.93181818,0.98863636,1.00000000,1.00000000,0.96590909,0.92045455,0.96590909,0.95454545,0.90909091,0.88636364,1.00000000,0.96780303,0.97159091,0.03346436,0.99581616,0.96935728,0.62215953,1.60462570
FacesUCR,0.96682927,0.97951220,0.96585366,0.97658537,0.97658537,0.97658537,0.97658537,0.97317073,0.97707317,0.97268293,0.97951220,0.97658537,0.98146341,0.97853659,0.97170732,0.97170732,0.97170732,0.96585366,0.98097561,0.97219512,0.97560976,0.97609756,0.98292683,0.97268293,0.98000000,0.97512195,0.98341463,0.97560976,0.97853659,0.97804878,0.96585366,0.98341463,0.97565854,0.97658537,0.00449266,0.99864807,0.96663861,1.40935575,10.04914529
FiftyWords,0.85714286,0.82417582,0.85274725,0.86813187,0.88351648,0.85714286,0.86593407,0.85494505,0.87912088,0.85714286,0.86153846,0.85274725,0.86593407,0.87252747,0.86153846,0.88791209,0.85714286,0.88351648,0.86813187,0.86153846,0.88571429,0.87692308,0.84615385,0.85934066,0.86813187,0.86373626,0.84395604,0.87252747,0.85494505,0.86593407,0.82417582,0.88791209,0.86366300,0.86263736,0.01336248,0.98781011,0.79526273,2.79581545,7.09437933
Fish,0.98285714,0.98285714,0.97714286,0.96000000,0.98285714,0.98285714,0.97714286,0.98857143,0.99428571,0.98857143,0.98857143,0.98285714,0.97714286,0.98285714,0.99428571,0.96000000,0.98285714,0.98857143,0.97142857,0.97714286,0.98285714,0.98285714,0.97714286,0.99428571,0.97714286,0.97142857,0.97142857,0.97714286,0.98285714,0.98857143,0.96000000,0.99428571,0.98095238,0.98285714,0.00838961,0.99834335,0.98091002,0.80414742,14.01391708
FordA,0.96363636,0.96590909,0.96363636,0.94924242,0.96136364,0.96363636,0.95909091,0.95833333,0.96893939,0.95757576,0.96212121,0.96590909,0.96212121,0.96287879,0.96136364,0.94848485,0.96212121,0.97121212,0.96287879,0.96287879,0.95757576,0.96212121,0.96212121,0.95909091,0.96439394,0.95909091,0.96893939,0.96439394,0.96060606,0.96287879,0.94848485,0.97121212,0.96181818,0.96212121,0.00468882,0.99312614,0.96080763,0.38245723,23.48611232
FordB,0.83456790,0.92592593,0.93703704,0.93333333,0.94938272,0.94074074,0.95432099,0.94814815,0.95185185,0.94197531,0.93950617,0.93580247,0.93333333,0.94567901,0.93703704,0.93333333,0.93086420,0.93209877,0.93580247,0.95061728,0.94197531,0.91975309,0.94074074,0.92839506,0.92839506,0.95308642,0.95185185,0.93456790,0.96049383,0.94814815,0.83456790,0.96049383,0.93662551,0.93827160,0.02118602,0.98150293,0.93566246,0.40588483,23.22440936
